ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
MSI,0.6411,0.6792,0.3056,0.7663,0.171,0.8752,0.0708,0.8554,79.41,,,,,,,,,,,,226.26,37590591779.0,12.0,224.78,359.0
MTB,,,,,,,,,,,,,,,,,,,,,147.65,19629051575.0,19.0,,
MTD,,,,,,,,,,,,,,,,,,,,,1422.29,33102449164.0,2.0,,
MU,,,,,,,,,,,,,,,,,,,,,80.42,90569003315.0,35.0,,
MXIM,,,,,,,,,,,,,,,,,,,,,105.84,28973176502.0,27.0,,
MYL,,,,,,,,,,,,,,,,,,,,,16.08,8642088752.0,179.0,,
NBL,,,,,,,,,,,,,,,,,,,,,8.77,4222496249.0,328.0,,
NCLH,,,,,,,,,,,,,,,,,,,,,30.35,6325664241.0,95.0,,
NDAQ,0.4792,0.5267000000000001,0.3504,0.8297,0.17550000000000002,0.8832,0.0755,0.8733,77.82,,,,,,,,,,,,179.02,29424282314.0,16.0,178.75,452.0
NEE,,,,,,,,,,,,,,,,,,,,,74.34,145114859050.0,38.0,,
NEM,,,,,,,,,,,,,,,,,,,,,65.53,52518837047.0,44.0,,
NFLX,,,,,,,,,,,,,,,,,,,,,544.63,240815590920.0,5.0,,
NI,,,,,,,,,,,,,,,,,,,,,25.09,9892173671.0,114.0,,
NKE,,,,,,,,,,,,,,,,,,,,,163.5,251549312878.0,17.0,,
NLOK,,,,,,,,,,,,,,,,,,,,,28.3,15863101532.0,101.0,,
NLSN,,,,,,,,,,,,,,,,,,,,,25.76,8917437830.0,111.0,,
NOC,,,,,,,,,,,,,,,,,,,,,371.67,59950227516.0,7.0,,
NOV,,,,,,,,,,,,,,,,,,,,,16.04,6006068659.0,179.0,,
NOW,,,,,,,,,,,,,,,,,,,,,552.24,111145380259.0,5.0,,
NRG,,,,,,,,,,,,,,,,,,,,,41.6,10129354844.0,69.0,,
NSC,,,,,,,,,,,,,,,,,,,,,274.36,68831075831.0,10.0,,
NTAP,0.9987,0.8851,0.2611,0.6772,0.12380000000000001,0.7484999999999999,0.071,0.8614,79.31,,,,,,,,,,,,83.49,19172102973.0,34.0,86.92,930.0
NTRS,,,,,,,,,,,,,,,,,,,,,120.79,24245576264.0,23.0,,
NUE,,,,,,,,,,,,,,,,,,,,,96.8,28919786098.0,29.0,,
NVDA,1.1759,0.9267,0.5708,0.9623999999999999,0.47600000000000003,1.0,0.2529,0.996,97.13,,,,,,,,,,,,835.79,523343056213.0,3.0,836.32,96.0
NVR,,,,,,,,,,,,,,,,,,,,,5352.41,18883946456.0,0.0,,
NWL,,,,,,,,,,,,,,,,,,,,,27.28,12036778237.0,105.0,,
NWS,,,,,,,,,,,,,,,,,,,,,25.67,15737993977.0,112.0,,
